TXN_ID,SENDER_ACCOUNT_NUMBER,RECEIVER_ACCOUNT_NUMBER,AMOUNT,CONDITIONS
TXN_0,62_PRC,48_PCV,2000,119_JBY__HAS__2000____AND____24_VNG__HAS__2000____AND____146_GSO__HAS__2000____AND____13_AJH__HAS__2000
TXN_1,124_LYI,121_IRW,2000,146_GSO__HAS__2000____AND____119_JBY__HAS__2000____AND____63_HHC__HAS__2000____AND____70_JHD__HAS__2000
TXN_2,25_CTA,118_HKM,2000,66_FWF__HAS__2000____AND____138_ENW__HAS__2000____AND____109_POA__HAS__2000____AND____21_YTC__HAS__2000
TXN_3,105_XTN,107_IIN,2000,29_BYD__HAS__2000____AND____63_HHC__HAS__2000____AND____108_PXF__HAS__2000____AND____134_WZM__HAS__2000
TXN_4,87_KLP,53_ZPS,2000,101_YGQ__HAS__2000____AND____75_OGV__HAS__2000____AND____101_YGQ__HAS__2000____AND____140_NES__HAS__2000
TXN_5,95_BLX,141_COE,2000,74_SFA__HAS__2000____AND____28_XCJ__HAS__2000____AND____88_TBS__HAS__2000____AND____79_PUM__HAS__2000
TXN_6,63_HHC,42_ZSN,2000,20_PRU__HAS__2000____AND____58_LQE__HAS__2000____AND____6_IDJ__HAS__2000____AND____11_TXW__HAS__2000
TXN_7,69_IUW,90_AKW,2000,50_GYE__HAS__2000____AND____38_RDO__HAS__2000____AND____127_CEY__HAS__2000____AND____53_ZPS__HAS__2000
TXN_8,103_RQK,32_AXW,2000,22_GBR__HAS__2000____AND____32_AXW__HAS__2000____AND____39_DTF__HAS__2000____AND____104_CFN__HAS__2000
TXN_9,126_ZIL,72_YMS,2000,132_NZQ__HAS__2000____AND____85_JYO__HAS__2000____AND____119_JBY__HAS__2000____AND____31_YVC__HAS__2000
TXN_10,19_NLT,23_QBP,2000,112_VRU__HAS__2000____AND____36_DHI__HAS__2000____AND____39_DTF__HAS__2000____AND____18_APP__HAS__2000
TXN_11,71_DWN,28_XCJ,2000,56_PUN__HAS__2000____AND____0_WFS__HAS__2000____AND____103_RQK__HAS__2000____AND____62_PRC__HAS__2000
TXN_12,119_JBY,84_JJD,2000,80_CDB__HAS__2000____AND____128_ELX__HAS__2000____AND____75_OGV__HAS__2000____AND____50_GYE__HAS__2000
TXN_13,81_QNE,75_OGV,2000,71_DWN__HAS__2000____AND____131_ZLS__HAS__2000____AND____122_GPD__HAS__2000____AND____48_PCV__HAS__2000
TXN_14,126_ZIL,15_SMM,2000,70_JHD__HAS__2000____AND____46_KAN__HAS__2000____AND____107_IIN__HAS__2000____AND____50_GYE__HAS__2000
TXN_15,18_APP,127_CEY,2000,24_VNG__HAS__2000____AND____6_IDJ__HAS__2000____AND____31_YVC__HAS__2000____AND____2_ZOL__HAS__2000
TXN_16,3_DXT,2_ZOL,2000,83_DTZ__HAS__2000____AND____125_MBT__HAS__2000____AND____140_NES__HAS__2000____AND____0_WFS__HAS__2000
TXN_17,25_CTA,105_XTN,2000,71_DWN__HAS__2000____AND____17_YRS__HAS__2000____AND____0_WFS__HAS__2000____AND____145_FAI__HAS__2000
TXN_18,92_YFI,4_TWD,2000,44_JSK__HAS__2000____AND____52_MUA__HAS__2000____AND____70_JHD__HAS__2000____AND____145_FAI__HAS__2000
TXN_19,63_HHC,114_JZZ,2000,21_YTC__HAS__2000____AND____16_CUR__HAS__2000____AND____117_OCY__HAS__2000____AND____88_TBS__HAS__2000
TXN_20,83_DTZ,106_WQR,2000,78_YTI__HAS__2000____AND____13_AJH__HAS__2000____AND____30_PDB__HAS__2000____AND____11_TXW__HAS__2000
TXN_21,128_ELX,103_RQK,2000,66_FWF__HAS__2000____AND____122_GPD__HAS__2000____AND____108_PXF__HAS__2000____AND____34_PMY__HAS__2000
TXN_22,22_GBR,139_HDD,2000,115_MTS__HAS__2000____AND____10_EBC__HAS__2000____AND____57_DGT__HAS__2000____AND____101_YGQ__HAS__2000
TXN_23,38_RDO,128_ELX,2000,72_YMS__HAS__2000____AND____60_EKX__HAS__2000____AND____92_YFI__HAS__2000____AND____47_DZQ__HAS__2000
TXN_24,107_IIN,4_TWD,2000,59_YBF__HAS__2000____AND____76_MPT__HAS__2000____AND____25_CTA__HAS__2000____AND____137_OLZ__HAS__2000
TXN_25,6_IDJ,100_DKE,2000,22_GBR__HAS__2000____AND____94_HYD__HAS__2000____AND____93_URG__HAS__2000____AND____56_PUN__HAS__2000
TXN_26,82_NPH,131_ZLS,2000,80_CDB__HAS__2000____AND____82_NPH__HAS__2000____AND____136_SXH__HAS__2000____AND____29_BYD__HAS__2000
TXN_27,52_MUA,9_BRP,2000,128_ELX__HAS__2000____AND____12_TKT__HAS__2000____AND____73_TAK__HAS__2000____AND____72_YMS__HAS__2000
TXN_28,15_SMM,33_RKA,2000,34_PMY__HAS__2000____AND____129_SEQ__HAS__2000____AND____22_GBR__HAS__2000____AND____132_NZQ__HAS__2000
TXN_29,79_PUM,21_YTC,2000,13_AJH__HAS__2000____AND____134_WZM__HAS__2000____AND____93_URG__HAS__2000____AND____71_DWN__HAS__2000
TXN_30,69_IUW,16_CUR,2000,57_DGT__HAS__2000____AND____46_KAN__HAS__2000____AND____8_IJM__HAS__2000____AND____30_PDB__HAS__2000
TXN_31,69_IUW,18_APP,2000,102_GOB__HAS__2000____AND____58_LQE__HAS__2000____AND____92_YFI__HAS__2000____AND____106_WQR__HAS__2000
TXN_32,7_QKF,131_ZLS,2000,107_IIN__HAS__2000____AND____44_JSK__HAS__2000____AND____49_DAQ__HAS__2000____AND____71_DWN__HAS__2000
TXN_33,36_DHI,68_NBW,2000,8_IJM__HAS__2000____AND____4_TWD__HAS__2000____AND____59_YBF__HAS__2000____AND____19_NLT__HAS__2000
TXN_34,15_SMM,74_SFA,2000,45_DMY__HAS__2000____AND____23_QBP__HAS__2000____AND____103_RQK__HAS__2000____AND____56_PUN__HAS__2000
TXN_35,64_UMG,48_PCV,2000,10_EBC__HAS__2000____AND____110_UPO__HAS__2000____AND____54_PAV__HAS__2000____AND____117_OCY__HAS__2000
TXN_36,95_BLX,53_ZPS,2000,119_JBY__HAS__2000____AND____54_PAV__HAS__2000____AND____81_QNE__HAS__2000____AND____9_BRP__HAS__2000
TXN_37,116_KGQ,113_VPM,2000,31_YVC__HAS__2000____AND____93_URG__HAS__2000____AND____8_IJM__HAS__2000____AND____29_BYD__HAS__2000
TXN_38,113_VPM,92_YFI,2000,149_GGA__HAS__2000____AND____77_SZO__HAS__2000____AND____20_PRU__HAS__2000____AND____138_ENW__HAS__2000
TXN_39,114_JZZ,87_KLP,2000,23_QBP__HAS__2000____AND____18_APP__HAS__2000____AND____63_HHC__HAS__2000____AND____57_DGT__HAS__2000
TXN_40,83_DTZ,84_JJD,2000,16_CUR__HAS__2000____AND____62_PRC__HAS__2000____AND____104_CFN__HAS__2000____AND____89_RXH__HAS__2000
TXN_41,144_UDK,91_SNW,2000,133_TJI__HAS__2000____AND____46_KAN__HAS__2000____AND____55_JJZ__HAS__2000____AND____49_DAQ__HAS__2000
TXN_42,77_SZO,64_UMG,2000,61_RWB__HAS__2000____AND____112_VRU__HAS__2000____AND____28_XCJ__HAS__2000____AND____129_SEQ__HAS__2000
TXN_43,130_JES,96_BJF,2000,38_RDO__HAS__2000____AND____22_GBR__HAS__2000____AND____99_YYQ__HAS__2000____AND____144_UDK__HAS__2000
TXN_44,4_TWD,60_EKX,2000,127_CEY__HAS__2000____AND____108_PXF__HAS__2000____AND____37_QSW__HAS__2000____AND____22_GBR__HAS__2000
TXN_45,71_DWN,80_CDB,2000,31_YVC__HAS__2000____AND____106_WQR__HAS__2000____AND____104_CFN__HAS__2000____AND____27_KOQ__HAS__2000
TXN_46,122_GPD,37_QSW,2000,7_QKF__HAS__2000____AND____140_NES__HAS__2000____AND____106_WQR__HAS__2000____AND____68_NBW__HAS__2000
TXN_47,59_YBF,62_PRC,2000,124_LYI__HAS__2000____AND____0_WFS__HAS__2000____AND____51_WDF__HAS__2000____AND____122_GPD__HAS__2000
TXN_48,147_KLT,91_SNW,2000,62_PRC__HAS__2000____AND____24_VNG__HAS__2000____AND____9_BRP__HAS__2000____AND____11_TXW__HAS__2000
TXN_49,122_GPD,108_PXF,2000,38_RDO__HAS__2000____AND____102_GOB__HAS__2000____AND____137_OLZ__HAS__2000____AND____52_MUA__HAS__2000
TXN_50,112_VRU,72_YMS,2000,146_GSO__HAS__2000____AND____66_FWF__HAS__2000____AND____24_VNG__HAS__2000____AND____129_SEQ__HAS__2000
TXN_51,146_GSO,54_PAV,2000,148_FMN__HAS__2000____AND____135_MXT__HAS__2000____AND____110_UPO__HAS__2000____AND____3_DXT__HAS__2000
TXN_52,117_OCY,38_RDO,2000,74_SFA__HAS__2000____AND____45_DMY__HAS__2000____AND____57_DGT__HAS__2000____AND____97_KVE__HAS__2000
TXN_53,50_GYE,135_MXT,2000,77_SZO__HAS__2000____AND____59_YBF__HAS__2000____AND____117_OCY__HAS__2000____AND____67_XPC__HAS__2000
TXN_54,119_JBY,41_FND,2000,21_YTC__HAS__2000____AND____129_SEQ__HAS__2000____AND____36_DHI__HAS__2000____AND____130_JES__HAS__2000
TXN_55,32_AXW,64_UMG,2000,137_OLZ__HAS__2000____AND____102_GOB__HAS__2000____AND____100_DKE__HAS__2000____AND____147_KLT__HAS__2000
TXN_56,47_DZQ,76_MPT,2000,119_JBY__HAS__2000____AND____122_GPD__HAS__2000____AND____53_ZPS__HAS__2000____AND____3_DXT__HAS__2000
TXN_57,102_GOB,90_AKW,2000,139_HDD__HAS__2000____AND____110_UPO__HAS__2000____AND____137_OLZ__HAS__2000____AND____53_ZPS__HAS__2000
TXN_58,22_GBR,83_DTZ,2000,27_KOQ__HAS__2000____AND____100_DKE__HAS__2000____AND____67_XPC__HAS__2000____AND____25_CTA__HAS__2000
TXN_59,7_QKF,61_RWB,2000,134_WZM__HAS__2000____AND____78_YTI__HAS__2000____AND____44_JSK__HAS__2000____AND____13_AJH__HAS__2000
TXN_60,32_AXW,55_JJZ,2000,27_KOQ__HAS__2000____AND____55_JJZ__HAS__2000____AND____57_DGT__HAS__2000____AND____59_YBF__HAS__2000
TXN_61,8_IJM,57_DGT,2000,82_NPH__HAS__2000____AND____148_FMN__HAS__2000____AND____92_YFI__HAS__2000____AND____114_JZZ__HAS__2000
TXN_62,13_AJH,119_JBY,2000,63_HHC__HAS__2000____AND____135_MXT__HAS__2000____AND____29_BYD__HAS__2000____AND____103_RQK__HAS__2000
TXN_63,107_IIN,123_RZZ,2000,34_PMY__HAS__2000____AND____26_LGB__HAS__2000____AND____43_UGF__HAS__2000____AND____41_FND__HAS__2000
TXN_64,2_ZOL,67_XPC,2000,8_IJM__HAS__2000____AND____137_OLZ__HAS__2000____AND____22_GBR__HAS__2000____AND____94_HYD__HAS__2000
TXN_65,123_RZZ,121_IRW,2000,141_COE__HAS__2000____AND____86_ZRP__HAS__2000____AND____82_NPH__HAS__2000____AND____35_DIR__HAS__2000
TXN_66,73_TAK,57_DGT,2000,67_XPC__HAS__2000____AND____46_KAN__HAS__2000____AND____1_TQF__HAS__2000____AND____86_ZRP__HAS__2000
TXN_67,47_DZQ,92_YFI,2000,72_YMS__HAS__2000____AND____137_OLZ__HAS__2000____AND____68_NBW__HAS__2000____AND____146_GSO__HAS__2000
TXN_68,115_MTS,54_PAV,2000,10_EBC__HAS__2000____AND____103_RQK__HAS__2000____AND____110_UPO__HAS__2000____AND____130_JES__HAS__2000
TXN_69,41_FND,22_GBR,2000,144_UDK__HAS__2000____AND____17_YRS__HAS__2000____AND____76_MPT__HAS__2000____AND____53_ZPS__HAS__2000
TXN_70,41_FND,87_KLP,2000,139_HDD__HAS__2000____AND____105_XTN__HAS__2000____AND____28_XCJ__HAS__2000____AND____101_YGQ__HAS__2000
TXN_71,127_CEY,118_HKM,2000,75_OGV__HAS__2000____AND____62_PRC__HAS__2000____AND____43_UGF__HAS__2000____AND____17_YRS__HAS__2000
TXN_72,109_POA,91_SNW,2000,54_PAV__HAS__2000____AND____83_DTZ__HAS__2000____AND____66_FWF__HAS__2000____AND____14_ZVJ__HAS__2000
TXN_73,18_APP,136_SXH,2000,132_NZQ__HAS__2000____AND____99_YYQ__HAS__2000____AND____4_TWD__HAS__2000____AND____66_FWF__HAS__2000
TXN_74,50_GYE,97_KVE,2000,77_SZO__HAS__2000____AND____141_COE__HAS__2000____AND____41_FND__HAS__2000____AND____147_KLT__HAS__2000
