TXN_ID,SENDER_ACCOUNT_ID,RECEIVER_ACCOUNT_ID,AMOUNT,CONDITIONS
TXN_0,49_YWS,74_JEM,2000,94_TCZ__HAS__2000____AND____131_QFY__HAS__2000____AND____31_SWH__HAS__2000____AND____114_HKS__HAS__2000
TXN_1,62_AQR,96_OFJ,2000,11_ARY__HAS__2000____AND____9_GTN__HAS__2000____AND____132_NOO__HAS__2000____AND____76_AKV__HAS__2000
TXN_2,86_HAN,103_MQB,2000,129_YBK__HAS__2000____AND____49_YWS__HAS__2000____AND____97_DYK__HAS__2000____AND____18_UJZ__HAS__2000
TXN_3,4_KSG,52_DUS,2000,54_FAC__HAS__2000____AND____96_OFJ__HAS__2000____AND____21_IKM__HAS__2000____AND____13_DZH__HAS__2000
TXN_4,33_JQD,148_IJO,2000,109_TJA__HAS__2000____AND____137_RXT__HAS__2000____AND____46_ZGB__HAS__2000____AND____131_QFY__HAS__2000
TXN_5,10_THM,21_IKM,2000,121_NFH__HAS__2000____AND____64_UTW__HAS__2000____AND____132_NOO__HAS__2000____AND____11_ARY__HAS__2000
TXN_6,59_WYG,25_MTU,2000,73_SOR__HAS__2000____AND____1_IPT__HAS__2000____AND____47_HLR__HAS__2000____AND____106_FOS__HAS__2000
TXN_7,30_DOB,3_IQZ,2000,20_KAH__HAS__2000____AND____90_JQN__HAS__2000____AND____100_LNA__HAS__2000____AND____118_YRC__HAS__2000
TXN_8,42_XEZ,131_QFY,2000,32_ZRK__HAS__2000____AND____139_TCF__HAS__2000____AND____126_VLV__HAS__2000____AND____19_RBS__HAS__2000
TXN_9,2_FUE,41_EFJ,2000,16_MLG__HAS__2000____AND____104_FDK__HAS__2000____AND____87_UNH__HAS__2000____AND____18_UJZ__HAS__2000
TXN_10,81_QSZ,103_MQB,2000,136_MFQ__HAS__2000____AND____21_IKM__HAS__2000____AND____30_DOB__HAS__2000____AND____9_GTN__HAS__2000
TXN_11,86_HAN,82_ZHE,2000,34_XIX__HAS__2000____AND____21_IKM__HAS__2000____AND____66_LFR__HAS__2000____AND____139_TCF__HAS__2000
TXN_12,66_LFR,22_AYL,2000,57_RFY__HAS__2000____AND____61_KML__HAS__2000____AND____45_HWF__HAS__2000____AND____57_RFY__HAS__2000
TXN_13,91_TXH,24_ARW,2000,70_JAV__HAS__2000____AND____3_IQZ__HAS__2000____AND____4_KSG__HAS__2000____AND____90_JQN__HAS__2000
TXN_14,102_YSD,10_THM,2000,138_UBS__HAS__2000____AND____116_PBT__HAS__2000____AND____95_DOS__HAS__2000____AND____52_DUS__HAS__2000
TXN_15,138_UBS,119_JJD,2000,58_IEQ__HAS__2000____AND____0_JWV__HAS__2000____AND____79_MCW__HAS__2000____AND____130_TJM__HAS__2000
TXN_16,74_JEM,33_JQD,2000,103_MQB__HAS__2000____AND____75_FJL__HAS__2000____AND____26_ITM__HAS__2000____AND____124_SQC__HAS__2000
TXN_17,89_JVF,1_IPT,2000,122_BLV__HAS__2000____AND____90_JQN__HAS__2000____AND____136_MFQ__HAS__2000____AND____8_OJQ__HAS__2000
TXN_18,86_HAN,68_FNN,2000,23_FEM__HAS__2000____AND____127_IDC__HAS__2000____AND____84_ICV__HAS__2000____AND____90_JQN__HAS__2000
TXN_19,66_LFR,69_AXX,2000,33_JQD__HAS__2000____AND____6_WYD__HAS__2000____AND____35_DAX__HAS__2000____AND____139_TCF__HAS__2000
TXN_20,105_JEI,12_GXN,2000,30_DOB__HAS__2000____AND____123_ZOQ__HAS__2000____AND____70_JAV__HAS__2000____AND____47_HLR__HAS__2000
TXN_21,60_DES,21_IKM,2000,119_JJD__HAS__2000____AND____57_RFY__HAS__2000____AND____111_UFQ__HAS__2000____AND____130_TJM__HAS__2000
TXN_22,61_KML,7_LSB,2000,1_IPT__HAS__2000____AND____101_ZNV__HAS__2000____AND____15_UXV__HAS__2000____AND____147_DPQ__HAS__2000
TXN_23,65_LSF,82_ZHE,2000,125_HCG__HAS__2000____AND____32_ZRK__HAS__2000____AND____51_JLV__HAS__2000____AND____105_JEI__HAS__2000
TXN_24,70_JAV,32_ZRK,2000,95_DOS__HAS__2000____AND____78_DNW__HAS__2000____AND____101_ZNV__HAS__2000____AND____19_RBS__HAS__2000
TXN_25,33_JQD,122_BLV,2000,146_ARD__HAS__2000____AND____51_JLV__HAS__2000____AND____31_SWH__HAS__2000____AND____136_MFQ__HAS__2000
TXN_26,124_SQC,107_WHJ,2000,147_DPQ__HAS__2000____AND____113_SOY__HAS__2000____AND____33_JQD__HAS__2000____AND____39_UHR__HAS__2000
TXN_27,72_KOR,1_IPT,2000,95_DOS__HAS__2000____AND____12_GXN__HAS__2000____AND____135_IEX__HAS__2000____AND____115_YCH__HAS__2000
TXN_28,61_KML,21_IKM,2000,107_WHJ__HAS__2000____AND____64_UTW__HAS__2000____AND____18_UJZ__HAS__2000____AND____44_OAR__HAS__2000
TXN_29,122_BLV,20_KAH,2000,147_DPQ__HAS__2000____AND____94_TCZ__HAS__2000____AND____49_YWS__HAS__2000____AND____48_DOQ__HAS__2000
TXN_30,102_YSD,61_KML,2000,98_TZA__HAS__2000____AND____81_QSZ__HAS__2000____AND____131_QFY__HAS__2000____AND____119_JJD__HAS__2000
TXN_31,116_PBT,69_AXX,2000,8_OJQ__HAS__2000____AND____20_KAH__HAS__2000____AND____121_NFH__HAS__2000____AND____143_OFP__HAS__2000
TXN_32,146_ARD,69_AXX,2000,149_IRS__HAS__2000____AND____35_DAX__HAS__2000____AND____31_SWH__HAS__2000____AND____140_LAS__HAS__2000
TXN_33,110_MQJ,86_HAN,2000,62_AQR__HAS__2000____AND____14_JSK__HAS__2000____AND____81_QSZ__HAS__2000____AND____31_SWH__HAS__2000
TXN_34,133_OKO,81_QSZ,2000,109_TJA__HAS__2000____AND____113_SOY__HAS__2000____AND____104_FDK__HAS__2000____AND____27_XGG__HAS__2000
TXN_35,108_AFM,72_KOR,2000,2_FUE__HAS__2000____AND____36_KYH__HAS__2000____AND____86_HAN__HAS__2000____AND____46_ZGB__HAS__2000
