NUMBER_OF_SHARDS,NUMBER_OF_TRANSACTION,NUMBER_OF_SUBTRANSACTION,NUMBER_OF_ACCOUNTS,NUMBER_OF_CONDITION_PER_TRANSACTION,TOTAL_PROCESSING_TIME,TRANSACTION_PER_SECONDS,TIMESTAMP,TRANSACTION_TYPE
4,4,20,1000,5,2.3066670894622803,1.73410372839388,2023-01-09 17:10:39.054983,0.5766667723655701,NO_LOCK
4,4,20,1000,5,2.565845012664795,1.558940614205588,2023-01-09 17:11:04.133037,0.6414612531661987,OUR_PROTOCOL
4,4,20,1000,5,2.692873001098633,1.485402393045676,2023-01-09 17:13:52.024289,0.6732182502746582,LOCK
4,4,40,1000,10,2.660309076309204,1.5035846908245054,2023-01-09 17:16:04.356666,0.665077269077301,NO_LOCK
4,4,40,1000,10,3.2678120136260986,1.2240606201705695,2023-01-09 17:17:07.915039,0.8169530034065247,OUR_PROTOCOL
4,4,40,1000,10,3.971006155014038,1.0073013850530936,2023-01-09 17:19:45.127061,0.9927515387535095,LOCK
4,4,60,1000,15,2.85530686378479,1.4009002152216616,2023-01-09 17:22:51.072827,0.7138267159461975,NO_LOCK
4,4,60,1000,15,3.961111068725586,1.009817682614723,2023-01-09 17:23:24.001924,0.9902777671813965,OUR_PROTOCOL
4,4,60,1000,15,4.668344020843506,0.8568348823781103,2023-01-09 17:25:48.125955,1.1670860052108765,LOCK
4,4,80,1000,20,2.9518940448760986,1.3550621869179909,2023-01-09 17:28:21.299216,0.7379735112190247,NO_LOCK
4,4,80,1000,20,4.8728110790252686,0.8208814040047165,2023-01-09 17:32:59.349673,1.2182027697563171,OUR_PROTOCOL
4,4,80,1000,20,5.7988059520721436,0.6897971811887654,2023-01-09 17:37:17.022062,1.4497014880180359,LOCK

